parcel_id,address_street,address_city,address_state,address_zip
RE0001001,"100 W Adams St","Jacksonville","FL","32202"
RE0001002,"200 N Laura St","Jacksonville","FL","32202"
RE0001003,"300 E Bay St","Jacksonville","FL","32202"
RE0001004,"400 S Main St","Jacksonville","FL","32202"
RE0001005,"500 W Forsyth St","Jacksonville","FL","32202"
RE0001006,"600 N Hogan St","Jacksonville","FL","32204"
RE0001007,"700 E Monroe St","Jacksonville","FL","32202"
RE0001008,"800 S Ocean St","Jacksonville","FL","32202"
RE0001009,"900 W Duval St","Jacksonville","FL","32204"
RE0001010,"1000 N Pearl St","Jacksonville","FL","32202"
RE0001011,"1100 E Church St","Jacksonville","FL","32202"
RE0001012,"1200 S Broad St","Jacksonville","FL","32202"
RE0001013,"1300 W State St","Jacksonville","FL","32202"
RE0001014,"1400 N Market St","Jacksonville","FL","32206"
RE0001015,"1500 E Union St","Jacksonville","FL","32206"
RE0001016,"1600 S Liberty St","Jacksonville","FL","32206"
RE0001017,"1700 W Beaver St","Jacksonville","FL","32204"
RE0001018,"1800 N Davis St","Jacksonville","FL","32209"
RE0001019,"1900 E 8th St","Jacksonville","FL","32206"
RE0001020,"2000 S Myrtle Ave","Jacksonville","FL","32204"
RE0001021,"2100 W 1st St","Jacksonville","FL","32209"
RE0001022,"2200 N Edgewood Ave","Jacksonville","FL","32254"
RE0001023,"2300 E 45th St","Jacksonville","FL","32208"
RE0001024,"2400 S Blanding Blvd","Jacksonville","FL","32210"
RE0001025,"2500 W 103rd St","Jacksonville","FL","32210"
RE0002001,"3100 Beach Blvd","Jacksonville Beach","FL","32250"
RE0002002,"3200 Atlantic Blvd","Neptune Beach","FL","32266"
RE0002003,"3300 San Pablo Rd","Jacksonville","FL","32224"
RE0002004,"3400 Kernan Blvd","Jacksonville","FL","32224"
RE0002005,"3500 Southside Blvd","Jacksonville","FL","32216"
RE0002006,"3600 Philips Hwy","Jacksonville","FL","32207"
RE0002007,"3700 University Blvd","Jacksonville","FL","32216"
RE0002008,"3800 Arlington Expy","Jacksonville","FL","32211"
RE0002009,"3900 Regency Square Blvd","Jacksonville","FL","32225"
RE0002010,"4000 Monument Rd","Jacksonville","FL","32225"
RE0002011,"4100 Baymeadows Rd","Jacksonville","FL","32217"
RE0002012,"4200 San Jose Blvd","Jacksonville","FL","32207"
RE0002013,"4300 Old St Augustine Rd","Jacksonville","FL","32217"
RE0002014,"4400 Mandarin Rd","Jacksonville","FL","32223"
RE0002015,"4500 Greenland Rd","Jacksonville","FL","32258"
RE0003001,"5100 Heckscher Dr","Jacksonville","FL","32226"
RE0003002,"5200 Main St N","Jacksonville","FL","32218"
RE0003003,"5300 Dunn Ave","Jacksonville","FL","32218"
RE0003004,"5400 Lem Turner Rd","Jacksonville","FL","32208"
RE0003005,"5500 Moncrief Rd","Jacksonville","FL","32209"
RE0003006,"5600 Normandy Blvd","Jacksonville","FL","32205"
RE0003007,"5700 Ortega Blvd","Jacksonville","FL","32210"
RE0003008,"5800 Timuquana Rd","Jacksonville","FL","32210"
RE0003009,"5900 Collins Rd","Jacksonville","FL","32244"
RE0003010,"6000 103rd St","Jacksonville","FL","32210"
